compound,smiles,valid_smiles,smiles_canonical,inchi_key
CPD-731,CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O),True,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CC(=O)[O-],ZNJFBWYDHIGLCU-QKMQQOOLSA-M
CPD-11529,CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O),True,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],WQKKCPPNDKSAIU-CBGYDUJUSA-J
CPD-15124,C(=O)(C[C@H]1(\C=C/C(=O)O1))[O-],True,O=C([O-])C[C@H]1C=CC(=O)O1,HPEKPJGPWNSAAV-SCSAIBSYSA-M
CPD-734,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC([O-])=O),True,CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)[O-],ZNJFBWYDHIGLCU-HWKXXFMVSA-M
CPD1F-2,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC(OC)=O),True,CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,GEWDNTWNSAZUDX-WQMVXFAESA-N
CPD-19106,C(C1(\[C@@H]2(NC3(/C=C\C=C/C(/N=C(\C=C/C=1)\2)=3))))(=O)[O-],True,O=C([O-])C1=CC=CC2=Nc3ccccc3N[C@@H]12,XMQOCNWUNJVNBJ-LBPRGKRZSA-M
CPD-14422,CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],DFYFQQXXTCLFNG-UBQHHBPXSA-J
CPD-14268,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)[O-],True,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)[O-],GWHCXVQVJPWHRF-KTKRTIGZSA-M
CPD-14269,CCCCCCCC\C=C/CCCCCCCCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O,True,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],QHZAQVTVYPHLKK-YVBAAGQKSA-J
4-OXALOMESACONATE,C(=O)([O-])/C=C(CC(C([O-])=O)=O)/C([O-])=O,True,O=C([O-])/C=C(\CC(=O)C(=O)[O-])C(=O)[O-],ODTDYYZJDQGKQT-NSCUHMNNSA-K
3-HYDROXY-5917-TRIOXO-45910-DISECOA,CC(/C(=O)CC[C@@H]1(C(=O)CC[C@]2(C)(C(=O)CC[C@@H]12)))=C\C=C(C(=O)[O-])/O,True,C/C(=C\C=C(/O)C(=O)[O-])C(=O)CC[C@@H]1C(=O)CC[C@]2(C)C(=O)CC[C@@H]12,HRJXKKSJPNWKCP-UNXDAHLPSA-M
CPD-12849,C(/C(/C(=O)[O-])=C\C(=O)[O-])=C(C(=O)[O-])\O,True,O=C([O-])/C=C(\C=C(\O)C(=O)[O-])C(=O)[O-],QWLUKZXOQAQUFQ-DXLKSGPOSA-K
CPD-19108,C([C@@H]1(\C=C/CC2(\NC3(/C=C\C=C/C(/NC\1=2)=3))))(=O)[O-],True,O=C([O-])[C@@H]1C=CCC2=C1Nc1ccccc1N2,WGOVWFNMPRCMBJ-MRVPVSSYSA-M
CPD-19103,C([O-])(=O)C1(\C2(\N=C3(C\C=C/[C@H]([C@H](NC(/C=C\C=1)=2)3)C(=O)[O-]))),True,O=C([O-])c1cccc2c1N=C1CC=C[C@@H](C(=O)[O-])[C@@H]1N2,CUYPWOPOBAHCCE-PELKAZGASA-L
CPD-19105,C([C@@H]1(\C=C/CC2(\[C@H]1NC3(/C=C\C=C/C(/N=2)=3))))(=O)[O-],True,O=C([O-])[C@@H]1C=CCC2=Nc3ccccc3N[C@H]21,RMSOWPIMGWWPCR-PELKAZGASA-M
CPD-19102,C([C@@H]1(\C=C/CC2(\[C@H]1NC3(O)(C\C=C/[C@@H](C([O-])=O)C(\N=2)3))))(=O)[O-],True,O=C([O-])[C@@H]1C=CCC2(O)N[C@@H]3C(=NC12)CC=C[C@H]3C(=O)[O-],IZJBZSNXJLOCHK-VMHMYJSPSA-L
CPD-12990,C([C@@H]1(\C=C/CC2(\[C@H]1NC3(/C\C=C/[C@@H](C([O-])=O)C(\N=2)=3))))(=O)[O-],True,O=C([O-])[C@@H]1C=CCC2=C1N=C1CC=C[C@@H](C(=O)[O-])[C@@H]1N2,MUDZFKKAMBPIJZ-XLDPMVHQSA-L
CPD-9521,C([C@@H]1(\C=C/CC([C@H]1[NH3+])=O))(=O)[O-],True,[NH3+][C@@H]1C(=O)CC=C[C@H]1C(=O)[O-],AQGCSVBPRRQXIN-XINAWCOVSA-N
INDOLE-3-GLYCEROL-P,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),True,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12,NQEQTYPJSIEPHW-MNOVXSKESA-L
CPD-185,C(\C=C(\C=C(C([O-])=O)/O)/C([O-])=O)([O-])=O,True,O=C([O-])/C=C(/C=C(\O)C(=O)[O-])C(=O)[O-],QWLUKZXOQAQUFQ-QEFWFIIXSA-K
CPD-62,C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP([O-])(=O)OC(=O)C4(/C=C\C=C(C(\O)=4)\O),True,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O,ULPVJDOMCRTJSN-RVXWVPLUSA-M
CPD-19114,C([O-])(=O)CC(C1(\C(\N)=C/C=C\C=1))=O,True,Nc1ccccc1C(=O)CC(=O)[O-],POAXUNDIOGWQOC-UHFFFAOYSA-M
CPD-19113,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(C1(\C(\N)=C/C=C\C=1))=O)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)c1ccccc1N,OLOTULRNHWZRKJ-FUEUKBNZSA-J
CPD-1106,C(CP([O-])(O)=O)[NH3+],True,[NH3+]CCP(=O)([O-])O,QQVDJLLNRSOCEL-UHFFFAOYSA-N
CPD-7737,C(C[C@]1(OC(\C=C/1)=O)C([O-])=O)([O-])=O,True,O=C([O-])C[C@]1(C(=O)[O-])C=CC(=O)O1,DHCUIDTZCMREHG-ZETCQYMHSA-L
CPD-11495,C(=O)([O-])CC1(/C=C\C=C/C(/O)=1),True,O=C([O-])Cc1ccccc1O,CCVYRRGZDBSHFU-UHFFFAOYSA-M
CPD-13174,C(C1(O)(C(=O)CC\C=C/1))(OCC2(/C=C\C=C/C(/O)=2))=O,True,O=C1CCC=CC1(O)C(=O)OCc1ccccc1O,WYYMYYOXCOEMCU-UHFFFAOYSA-N
CPD-7243,C[C@H](CC/C=C(C)/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)[C@H]4(CC[C@@H]5([C@@](C)4[C@@H](O)C[C@H]6([C@H]5[C@H](O)C[C@H]7([C@@](C)6CC[C@@H](O)C7)))),True,C/C(=C\CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],QVDPWQVOSKJUES-JMOYVIBVSA-J
CPD-10589,C[C@H](CC/C=C(C)/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)[C@H]4(CC[C@@H]5([C@@](C)4CC[C@H]6([C@H]5[C@H](O)C[C@H]7([C@@](C)6CC[C@@H](O)C7)))),True,C/C(=C\CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],SEBZZAWTQNNGPK-RDYMGNODSA-J
CPD-7275,C[C@H](CC[C@@H](O)[C@@H](C)C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)[C@H]4(CC[C@@H]5([C@@](C)4[C@@H](O)C[C@H]6([C@H]5[C@H](O)C[C@H]7([C@@](C)6CC[C@@H](O)C7)))),True,C[C@H](CC[C@@H](O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,PXHZOQNODUPJKC-MTLGCJAASA-J
CPD-10590,C[C@H](CC[C@@H](O)[C@@H](C)C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)[C@H]4(CC[C@@H]5([C@@](C)4CC[C@H]6([C@H]5[C@H](O)C[C@H]7([C@@](C)6CC[C@@H](O)C7)))),True,C[C@H](CC[C@@H](O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,SZBMUAIJWNJARR-UIZKVWQNSA-J
